pair,K,fec_snr_db,E_rx_fJ,E_tx_fJ,E_sys_fJ,fl_fr,fl_cr,blind_d
FFT Search (DA) + V&V,1,17.705550425772,980.392610562632,13.914115424909,994.306725987541,2,4,NaN
FFT Search (DA) + V&V,10,17.705550425772,980.392610562632,13.9279175924615,9817.85402321878,2,4,NaN
FFT Search (DA) + V&V,100,17.705550425772,980.392610562632,13.9418024246846,98053.2028586879,2,4,NaN
FFT Search (DA) + Pilots-only,1,10.1094172608803,27.2088605626322,2.41941035326733,29.6282709158995,2,2,NaN
FFT Search (DA) + Pilots-only,10,10.1094172608803,27.2088605626322,2.4194229254886,274.508028551811,2,2,NaN
FFT Search (DA) + Pilots-only,100,10.1094172608803,27.2088605626322,2.41943549810185,2723.30549176132,2,2,NaN
Diff. Kay (DA) + V&V,1,17.7380971775343,954.086185344828,14.0188798505836,968.105065195411,2,4,NaN
Diff. Kay (DA) + V&V,10,17.7380971775343,954.086185344828,14.0331035881949,9554.89495703647,2,4,NaN
Diff. Kay (DA) + V&V,100,17.7380971775343,954.086185344828,14.0474144738638,95422.6659489566,2,4,NaN
Diff. Kay (DA) + Pilots-only,1,10.7271762208068,0.902435344827586,2.78923948315546,3.69167482798304,2,2,NaN
Diff. Kay (DA) + Pilots-only,10,10.7271762208068,0.902435344827586,2.78926169176886,11.8136151400447,2,2,NaN
Diff. Kay (DA) + Pilots-only,100,10.7271762208068,0.902435344827586,2.7892839014433,93.0328183842019,2,2,NaN
FFT Search (blind) + V&V,1,17.6514883688044,991.89692887931,13.741827753572,1005.63875663288,2,4,32
FFT Search (blind) + V&V,10,17.6514883688044,991.89692887931,13.7549571731599,9932.72424596626,2,4,32
FFT Search (blind) + V&V,100,17.6514883688044,991.89692887931,13.7681623155399,99203.4610502466,2,4,32
FFT Search (blind) + Pilots-only,1,10.2960092642081,38.7131788793103,2.52562478977474,41.2388036690851,2,2,32
FFT Search (blind) + Pilots-only,10,10.2960092642081,38.7131788793103,2.52563971944884,389.657428512552,2,2,32
FFT Search (blind) + Pilots-only,100,10.2960092642081,38.7131788793103,2.52565464965248,3873.84354258069,2,2,32
