pair,K,fec_snr_db,E_rx_fJ,E_tx_fJ,E_sys_fJ,fl_fr,fl_cr,blind_d
FFT Search (DA) + V&V,1,17.705550425772,980.392610562632,0.189801690737568,980.58241225337,2,4,NaN
FFT Search (DA) + V&V,10,17.705550425772,980.392610562632,1.89801690737568,9805.8241225337,2,4,NaN
FFT Search (DA) + V&V,100,17.705550425772,980.392610562632,18.9801690737568,98058.241225337,2,4,NaN
FFT Search (DA) + Pilots-only,1,10.1094172608803,27.2088605626322,0.0330131344245004,27.2418736970567,2,2,NaN
FFT Search (DA) + Pilots-only,10,10.1094172608803,27.2088605626322,0.330131344245004,272.418736970567,2,2,NaN
FFT Search (DA) + Pilots-only,100,10.1094172608803,27.2088605626322,3.30131344245004,2724.18736970567,2,2,NaN
Diff. Kay (DA) + V&V,1,17.7380971775343,954.086185344828,0.191229439429239,954.277414784257,2,4,NaN
Diff. Kay (DA) + V&V,10,17.7380971775343,954.086185344828,1.91229439429239,9542.77414784257,2,4,NaN
Diff. Kay (DA) + V&V,100,17.7380971775343,954.086185344828,19.1229439429239,95427.7414784257,2,4,NaN
Diff. Kay (DA) + Pilots-only,1,10.7271762208068,0.902435344827586,0.0380594629960301,0.940494807823616,2,2,NaN
Diff. Kay (DA) + Pilots-only,10,10.7271762208068,0.902435344827586,0.380594629960301,9.40494807823616,2,2,NaN
Diff. Kay (DA) + Pilots-only,100,10.7271762208068,0.902435344827586,3.80594629960301,94.0494807823616,2,2,NaN
FFT Search (blind) + V&V,1,17.6514883688044,991.89692887931,0.187453636996945,992.084382516307,2,4,32
FFT Search (blind) + V&V,10,17.6514883688044,991.89692887931,1.87453636996945,9920.84382516307,2,4,32
FFT Search (blind) + V&V,100,17.6514883688044,991.89692887931,18.7453636996945,99208.4382516307,2,4,32
FFT Search (blind) + Pilots-only,1,10.2960092642081,38.7131788793103,0.0344624350495373,38.7476413143599,2,2,32
FFT Search (blind) + Pilots-only,10,10.2960092642081,38.7131788793103,0.344624350495373,387.476413143599,2,2,32
FFT Search (blind) + Pilots-only,100,10.2960092642081,38.7131788793103,3.44624350495373,3874.76413143599,2,2,32
